id,observed_on_string,observed_on,time_observed_at,time_zone,out_of_range,user_login,created_at,updated_at,quality_grade,description,id_please,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,latitude,longitude,positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id,taxon_kingdom_name,taxon_phylum_name,taxon_class_name,taxon_order_name,taxon_family_name,taxon_genus_name,taxon_species_name,taxon_subspecies_name
19346466,2019-01-01T12:40,2019-01-01,2019-01-01 01:40:00 UTC,Sydney,,questagame,2019-01-01 03:18:13 UTC,2019-01-02 00:29:59 UTC,research,"Sighting and photos (c) shields.
",false,2,0,false,111,"New South Wales, AU",-30.1828304584,153.3538354417,,obscured,,true,,,Hadda Beetle,Henosepilachna vigintioctopunctata,Hadda Beetle,Insecta,354799,Animalia,Arthropoda,Insecta,Coleoptera,Coccinellidae,Henosepilachna,Henosepilachna vigintioctopunctata,
19346580,Tue Jan 01 2019 10:30:25 GMT+0800 (GMT+8),2019-01-01,2019-01-01 02:30:25 UTC,Australia/Perth,,fauvelin,2019-01-01 03:25:57 UTC,2020-02-10 22:44:58 UTC,research,,false,4,1,false,3,"日月潭自行車道, 魚池鄉, 台灣, TW",23.86172,120.9072716667,10,,,false,,,Aspidimorpha miliaris,Aspidimorpha miliaris,Spotted Tortoise Beetle,Insecta,363226,Animalia,Arthropoda,Insecta,Coleoptera,Chrysomelidae,Aspidimorpha,Aspidimorpha miliaris,
19346928,Tue Jan 01 2019 14:54:56 GMT+1100 (GMT+11),2019-01-01,2019-01-01 03:54:56 UTC,Asia/Magadan,,christine189,2019-01-01 03:56:42 UTC,2019-01-01 08:26:30 UTC,research,,false,1,0,false,3,"1–6 Chester Place, Mount Gambier, SA, AU",-37.8411631506,140.7823340812,45045,,,false,,,Cowboy Beetle,Chondropyga dorsalis,Cowboy Beetle,Insecta,341892,Animalia,Arthropoda,Insecta,Coleoptera,Scarabaeidae,Chondropyga,Chondropyga dorsalis,
19348423,Tue Jan 01 2019 14:57:57 GMT+1100 (GMT+11),2019-01-01,2019-01-01 03:57:57 UTC,Asia/Magadan,,neilson,2019-01-01 05:51:22 UTC,2019-01-02 04:35:23 UTC,research,,false,2,0,false,3,"Pindari Reserve, Bayview, NSW, AU",-33.6606045587,151.294320209,22,,,false,,,Fiddler Beetle,Eupoecila australasiae,Fiddler Beetle,Insecta,201859,Animalia,Arthropoda,Insecta,Coleoptera,Scarabaeidae,Eupoecila,Eupoecila australasiae,
19349828,2019-01-01T13:31,2019-01-01,2019-01-01 02:31:00 UTC,Sydney,,questagame,2019-01-01 08:18:19 UTC,2019-01-07 11:47:32 UTC,needs_id,"Sighting and photos (c) acforg.
Field Notes - Small beetle. Very relaxed nature. Approx 20mm long. Found in grass at Jimmys creek campsite in the grampians. ",false,1,0,false,111,"Victoria, AU",-37.2311091993,142.5043645358,,obscured,,true,,,Net-winged Beetles,Lycidae,Net-winged Beetles,Insecta,49360,Animalia,Arthropoda,Insecta,Coleoptera,Lycidae,,,
19350133,2019/01/01 10:08 AM CST,2019-01-01,2019-01-01 16:08:00 UTC,Central Time (US & Canada),,max822,2019-01-01 08:53:00 UTC,2019-01-01 09:30:45 UTC,research,,false,1,0,false,,602台灣嘉義縣番路鄉16號,23.453133,120.559564,198,,,false,,,Yellow-spotted Longicorn Beetle,Psacothea hilaris,Yellow-spotted Longicorn Beetle,Insecta,498007,Animalia,Arthropoda,Insecta,Coleoptera,Cerambycidae,Psacothea,Psacothea hilaris,
19350756,Tue Jan 01 2019 18:28:57 GMT+0800 (GMT+8),2019-01-01,2019-01-01 10:28:57 UTC,Australia/Perth,,epicurus,2019-01-01 10:31:06 UTC,2019-01-01 13:09:13 UTC,research,,false,1,0,false,3,"Jalan Raya Jungut Batu, Klungkung, Bali, ID",-8.6740583333,115.448425,10,,,false,,,Coconut Rhinoceros Beetle,Oryctes rhinoceros,Coconut Rhinoceros Beetle,Insecta,320058,Animalia,Arthropoda,Insecta,Coleoptera,Scarabaeidae,Oryctes,Oryctes rhinoceros,
19350934,2019-01-01T16:13,2019-01-01,2019-01-01 05:13:00 UTC,Sydney,,questagame,2019-01-01 10:58:18 UTC,2019-05-24 09:19:00 UTC,research,"Sighting and photos (c) james22.
",false,3,0,false,111,"Victoria, AU",-37.4864793235,143.8571724979,,obscured,,true,,,Hippodamia variegata,Hippodamia variegata,Variegated Lady Beetle,Insecta,143034,Animalia,Arthropoda,Insecta,Coleoptera,Coccinellidae,Hippodamia,Hippodamia variegata,
19351154,Tue Jan 01 2019 09:17:23 GMT-0200 (GMT-2),2019-01-01,2019-01-01 11:17:23 UTC,Mid-Atlantic,,ricardo245,2019-01-01 11:30:21 UTC,2019-01-02 11:18:56 UTC,needs_id,,false,1,0,false,3,"Rua Dezessete, 1148–1176, Eldorado do Sul, RS, BR",-30.1114221667,-51.6537466667,16,,,false,,,Masked Chafers and Rice Beetles,Cyclocephalini,Masked Chafers and Rice Beetles,Insecta,502785,Animalia,Arthropoda,Insecta,Coleoptera,Scarabaeidae,,,
19352132,2019-01-01T19:34,2019-01-01,2019-01-01 08:34:00 UTC,Sydney,,questagame,2019-01-01 13:08:34 UTC,2019-04-02 12:17:33 UTC,needs_id,"Sighting and photos (c) kawsar.
",false,1,0,false,111,"New South Wales, AU",-33.6518147904,151.1171100007,,obscured,,true,,,Hadda Beetle,Henosepilachna vigintioctopunctata,Hadda Beetle,Insecta,354799,Animalia,Arthropoda,Insecta,Coleoptera,Coccinellidae,Henosepilachna,Henosepilachna vigintioctopunctata,
19352632,2019-01-01T22:08,2019-01-01,2019-01-01 11:08:00 UTC,Sydney,,questagame,2019-01-01 14:12:10 UTC,2019-03-08 22:10:15 UTC,research,"Sighting and photos (c) emily24.
Field Notes - Dont know what this is or where it came from",false,2,0,false,111,"South Australia, AU",-34.9088082047,138.766743616,,obscured,,true,,,Elm Leaf Beetle,Xanthogaleruca luteola,Elm Leaf Beetle,Insecta,233683,Animalia,Arthropoda,Insecta,Coleoptera,Chrysomelidae,Xanthogaleruca,Xanthogaleruca luteola,
19353025,2019-01-01T22:04,2019-01-01,2019-01-01 11:04:00 UTC,Sydney,,questagame,2019-01-01 14:45:55 UTC,2019-01-25 06:52:09 UTC,research,"Sighting and photos (c) jordana1971.
Field Notes - Rural property. Home garden. On deadly nightshade. ",false,2,0,false,111,"Western Australia, AU",-34.222596047,116.0758327063,,obscured,,true,,,Hadda Beetle,Henosepilachna vigintioctopunctata,Hadda Beetle,Insecta,354799,Animalia,Arthropoda,Insecta,Coleoptera,Coccinellidae,Henosepilachna,Henosepilachna vigintioctopunctata,
19353378,Tue Jan 01 2019 09:34:41 GMT-0500 (EST),2019-01-01,2019-01-01 14:34:41 UTC,Eastern Time (US & Canada),,bluets15,2019-01-01 15:12:54 UTC,2019-01-01 15:13:00 UTC,needs_id,,false,0,0,false,3,"4112 Trevor Cir, Durham, NC, US",36.068743039,-78.9297780768,5,,,false,,,,Aethina tumida,Small Hive Beetle,Insecta,457066,Animalia,Arthropoda,Insecta,Coleoptera,Nitidulidae,Aethina,Aethina tumida,
19355678,Tue Jan 01 2019 12:48:26 GMT-0500 (EST),2019-01-01,2019-01-01 17:48:26 UTC,Eastern Time (US & Canada),,scout132,2019-01-01 17:49:03 UTC,2019-03-06 13:53:47 UTC,research,,false,1,0,false,3,"83 Excelsior Ave, New York, NY, US",40.5209650426,-74.2078712304,5,,,false,,,Alobates pensylvanicus,Alobates pensylvanicus,false mealworm beetle,Insecta,458100,Animalia,Arthropoda,Insecta,Coleoptera,Tenebrionidae,Alobates,Alobates pensylvanicus,
19356473,2019-01-01 3:17:11 da tarde WET,2019-01-01,2019-01-01 15:17:11 UTC,Europe/London,,davidclp,2019-01-01 18:37:00 UTC,2019-01-03 15:12:15 UTC,research,,false,3,0,false,2,"Cabeção, 7490 Cabeção, Portugal",38.9430920744,-8.0880353227,44,,,false,gps,gps,Whiplash Rove Beetles,Paederus,Whiplash Beetles,Insecta,132026,Animalia,Arthropoda,Insecta,Coleoptera,Staphylinidae,Paederus,,
19357315,2019/01/01 5:43 PM IST,2019-01-01,2019-01-01 15:43:00 UTC,Jerusalem,,centaur,2019-01-01 19:18:08 UTC,2019-03-12 21:24:34 UTC,research,Found under dry bark of Ficus sycomorus,false,1,0,false,,"כפר מסריק, ישראל",32.8883929427,35.0996772464,4,,,false,,,Vedalia Beetle,Rodolia cardinalis,Vedalia Beetle,Insecta,60944,Animalia,Arthropoda,Insecta,Coleoptera,Coccinellidae,Rodolia,Rodolia cardinalis,
19357317,2019/01/01 5:48 PM IST,2019-01-01,2019-01-01 15:48:00 UTC,Jerusalem,,centaur,2019-01-01 19:18:10 UTC,2019-03-12 21:24:09 UTC,research,Found under dry bark of Ficus sycomorus,false,1,0,false,,"כפר מסריק, ישראל",32.8884190651,35.0996337091,,,,false,,,Sawtoothed Grain Beetle,Oryzaephilus surinamensis,Sawtoothed Grain Beetle,Insecta,226660,Animalia,Arthropoda,Insecta,Coleoptera,Silvanidae,Oryzaephilus,Oryzaephilus surinamensis,
19357699,Tue Jan 01 2019 20:31:14 GMT+0100 (GMT+1),2019-01-01,2019-01-01 19:31:14 UTC,Amsterdam,,valentin41,2019-01-01 19:34:18 UTC,2019-01-02 11:00:28 UTC,research,,false,1,0,false,3,"164 Impasse de la Grange, Tayac, Aquitaine, FR",44.9648464029,-0.0258284792,165,,,false,,,Cocchiere del diavolo,Ocypus olens,Devil's Coach-horse Beetle,Insecta,53869,Animalia,Arthropoda,Insecta,Coleoptera,Staphylinidae,Ocypus,Ocypus olens,
19357980,Tue Jan 01 2019 14:46:11 GMT-0500 (EST),2019-01-01,2019-01-01 19:46:11 UTC,Eastern Time (US & Canada),,emmaalyse,2019-01-01 19:46:21 UTC,2019-12-28 17:36:49 UTC,research,,false,1,0,false,3,"9904 Manet Rd, Burke, VA, US",38.7811628946,-77.2862954518,65,,,false,,,Grapevine Beetle,Pelidnota punctata,Grapevine Beetle,Insecta,48259,Animalia,Arthropoda,Insecta,Coleoptera,Scarabaeidae,Pelidnota,Pelidnota punctata,
19360172,2019-01-02 5:14:30 AM GMT+08:00,2019-01-02,2019-01-01 21:14:30 UTC,Australia/Perth,,mohd3,2019-01-01 21:16:32 UTC,2019-02-06 11:16:12 UTC,research,,false,1,0,false,2,"M05, Desasiswa Tekun USM, Halaman Bukit Gambir 4, Sunway Bukit Gambier, 11700 Gelugor, Pulau Pinang, Malaysia",5.3553707,100.2913211,22,,,false,,,Tortoise-shelled Ladybird Beetle,Harmonia testudinaria,Tortoise-shelled Ladybird,Insecta,243547,Animalia,Arthropoda,Insecta,Coleoptera,Coccinellidae,Harmonia,Harmonia testudinaria,
19360306,2019-01-01T11:14,2019-01-01,2019-01-01 00:14:00 UTC,Sydney,,questagame,2019-01-01 21:21:23 UTC,2019-11-26 01:30:48 UTC,needs_id,"Sighting and photos (c) grisper.
Field Notes - Flower beetle caught in net",false,1,0,false,111,"Queensland, AU",-27.3026714104,152.9636835982,,obscured,,true,,,Beetles,Coleoptera,Beetles,Insecta,47208,Animalia,Arthropoda,Insecta,Coleoptera,,,,
19360518,Tue Jan 01 2019 19:15:39 GMT+0200 (GMT+2),2019-01-01,2019-01-01 17:15:39 UTC,Africa/Johannesburg,,merav,2019-01-01 21:28:53 UTC,2019-01-02 07:02:17 UTC,needs_id,,false,1,0,false,3,"Haamalim Street 6, Qiryat Tiv'On, Haifa, IL",32.7128833333,35.1024971667,4,,,false,,,Whiplash Rove Beetles,Paederus,Whiplash Beetles,Insecta,132026,Animalia,Arthropoda,Insecta,Coleoptera,Staphylinidae,Paederus,,
19361547,2019-01-02T08:35,2019-01-02,2019-01-01 21:35:00 UTC,Sydney,,questagame,2019-01-01 22:16:08 UTC,2019-01-17 21:59:59 UTC,needs_id,"Sighting and photos (c) biohunter.
Field Notes - Found on a large gum tree",false,1,0,false,111,"New South Wales, AU",-35.0093718868,147.2578783617,,obscured,,true,,,Christmas Beetles,Anoplognathus,Christmas Beetles,Insecta,201869,Animalia,Arthropoda,Insecta,Coleoptera,Scarabaeidae,Anoplognathus,,
19361789,2019-01-02T00:16,2019-01-02,2019-01-01 13:16:00 UTC,Sydney,,questagame,2019-01-01 22:25:54 UTC,2019-01-17 19:28:21 UTC,needs_id,"Sighting and photos (c) penelope.
Field Notes - Small beetle (c. 2 mm) outside my glass door in the backyard.",false,1,0,false,111,"Queensland, AU",-27.5634284095,153.0737819771,,obscured,,true,,,Monolepta,Monolepta,,Insecta,203902,Animalia,Arthropoda,Insecta,Coleoptera,Chrysomelidae,Monolepta,,
19362444,2019/01/01 9:56 PM ACDT,2019-01-01,2019-01-01 11:26:00 UTC,Adelaide,,davemmdave,2019-01-01 22:56:15 UTC,2019-01-02 08:09:24 UTC,needs_id,"Same species attracted to night light that I posted on iNat about a week ago or more.
This is only the 2nd  one I've seen.Same location near back of dunes.Very loud strong flier.The knobbly  antennae are a characteristic from  my local perspective because I 've been fascinated by our local longhorn beetles(most of which seem to be borers in Acacia trees and shrubs, as far as I can say from my very amateur collecting years in childhood and low teens).We also found the best way to obtain adults diurnally was by stripping the blackish resinous loose bark from the bases of the Acacia uncifolia trees along the rear of Normanville Dunes.But not this species.My guess is it is not a recent arrival e.g. via range extension due climate change.I suspect it is a longterm local native which was probably common pre settlement but became scarce following vegetation clearance and all the other dreadful impacts our forebears had(mostly in ignorancce of consequences) and is making something of a comeback as a result of revegetation and improved landcare generally.All speculation.",false,2,0,false,,"Normanville SA 5204, Australia",-35.4438888889,138.3116666667,,,,false,,,Pachydissus,Pachydissus,,Insecta,332266,Animalia,Arthropoda,Insecta,Coleoptera,Cerambycidae,Pachydissus,,
19363062,2019/01/01 7:03 PM EST,2019-01-01,2019-01-02 00:03:00 UTC,Eastern Time (US & Canada),,humanbyweight,2019-01-01 23:27:10 UTC,2019-03-10 18:38:07 UTC,research,,false,2,0,false,,"Honolulu County, HI, USA",21.4034253783,-157.7560202187,251,,,false,,,Variable ladybird,Coelophora inaequalis,Variable ladybird,Insecta,333707,Animalia,Arthropoda,Insecta,Coleoptera,Coccinellidae,Coelophora,Coelophora inaequalis,
19363236,2019-01-01,2019-01-01,,Sydney,,allanlugg,2019-01-01 23:37:43 UTC,2019-07-19 09:56:53 UTC,research,,false,2,0,false,2,"The Pier Shopping Centre, 1 Pier Point Rd, Cairns City QLD 4870, Australia",-16.9187927246,145.7795562744,,,,false,gps,gps,Australian Elephant Beetle,Xylotrupes australicus,Australian Elephant Beetle,Insecta,775325,Animalia,Arthropoda,Insecta,Coleoptera,Scarabaeidae,Xylotrupes,Xylotrupes australicus,
19363543,Wed Jan 02 2019 10:50:02 GMT+1100 (GMT+11),2019-01-02,2019-01-01 23:50:02 UTC,Asia/Magadan,,hebe,2019-01-01 23:50:40 UTC,2019-01-02 04:28:59 UTC,needs_id,,false,2,0,false,3,"5 First Street, Mudgee, NSW, AU",-32.5840964634,149.5700384864,5,,,false,,,Christmas Beetles,Anoplognathus,Christmas Beetles,Insecta,201869,Animalia,Arthropoda,Insecta,Coleoptera,Scarabaeidae,Anoplognathus,,
19363952,2019-01-02T09:46,2019-01-02,2019-01-01 22:46:00 UTC,Sydney,,questagame,2019-01-02 00:09:27 UTC,2019-01-02 12:41:17 UTC,needs_id,"Sighting and photos (c) oscar8.
",false,1,0,false,111,"New South Wales, AU",-33.8600625192,151.242065692,,obscured,,true,,,Christmas Beetles,Anoplognathus,Christmas Beetles,Insecta,201869,Animalia,Arthropoda,Insecta,Coleoptera,Scarabaeidae,Anoplognathus,,
19364711,2019-01-01 11:52:55 AM PST,2019-01-01,2019-01-01 19:52:55 UTC,Pacific Time (US & Canada),,marcrussell,2019-01-02 00:39:49 UTC,2019-03-04 17:34:47 UTC,research,,false,2,0,false,2,"Redwood Regional Park, Contra Costa County, US-CA, US",37.8210906982,-122.1677246094,,,,false,gps,gps,Convergent Lady Beetle,Hippodamia convergens,Convergent Lady Beetle,Insecta,48987,Animalia,Arthropoda,Insecta,Coleoptera,Coccinellidae,Hippodamia,Hippodamia convergens,
19364761,Tue Jan 01 2019 14:35:06 GMT-0800 (PST),2019-01-01,2019-01-01 22:35:06 UTC,Pacific Time (US & Canada),,ungerlord,2019-01-02 00:42:25 UTC,2019-01-10 16:30:27 UTC,research,,false,1,0,false,3,"Redwood Regional Park, Moraga, CA, US",37.8204633333,-122.167275,16,,,false,,,Convergent Lady Beetle,Hippodamia convergens,Convergent Lady Beetle,Insecta,48987,Animalia,Arthropoda,Insecta,Coleoptera,Coccinellidae,Hippodamia,Hippodamia convergens,
19365243,2019-01-01 7:02:09 PM CST,2019-01-01,2019-01-02 01:02:09 UTC,Central Time (US & Canada),,samisbahena,2019-01-02 01:05:52 UTC,2019-01-02 18:53:27 UTC,needs_id,,false,1,0,false,2,"Crisantemos 17, Las Rosas, 62586 Temixco, Mor., México",18.82011024,-99.22288038,9,,,false,,,Escarabajos bueyes,Strategus,Ox Beetles,Insecta,196310,Animalia,Arthropoda,Insecta,Coleoptera,Scarabaeidae,Strategus,,
19365628,2019-01-02T09:05,2019-01-02,2019-01-01 22:05:00 UTC,Sydney,,questagame,2019-01-02 01:18:25 UTC,2019-07-19 09:57:08 UTC,research,"Sighting and photos (c) boanat.
Field Notes - Trying (unsuccessfully) to climb a stair.
Size is about 7cm!",false,3,0,false,111,"Queensland, AU",-27.4181667938,153.0349272398,,obscured,,true,,,Australian Elephant Beetle,Xylotrupes australicus,Australian Elephant Beetle,Insecta,775325,Animalia,Arthropoda,Insecta,Coleoptera,Scarabaeidae,Xylotrupes,Xylotrupes australicus,
19366373,2019-01-02T11:50,2019-01-02,2019-01-02 00:50:00 UTC,Sydney,,questagame,2019-01-02 01:53:20 UTC,2019-01-02 12:13:09 UTC,research,"Sighting and photos (c) lindaweaving.
",false,1,0,false,111,"New South Wales, AU",-33.6168738517,150.5191348097,,obscured,,true,,,Cowboy Beetle,Chondropyga dorsalis,Cowboy Beetle,Insecta,341892,Animalia,Arthropoda,Insecta,Coleoptera,Scarabaeidae,Chondropyga,Chondropyga dorsalis,
19368876,2019-01-02T11:50,2019-01-02,2019-01-02 00:50:00 UTC,Sydney,,questagame,2019-01-02 03:40:00 UTC,2019-01-02 12:13:46 UTC,research,"Sighting and photos (c) lindaweaving.
Field Notes - a large flower beetle found flying around my leaf mould compost bin, looking for access (although it has no lid). After a short while, it landed and found a way in, crawling under the access door at the bottom. I picked her up to take photos. When she took off again, she flew almost straight back to the same spot and crawled straight in, so she obviously remembered the location she'd found a few minutes earlier.",false,1,0,false,111,"New South Wales, AU",-33.664446345,150.4434389506,,obscured,,true,,,Cowboy Beetle,Chondropyga dorsalis,Cowboy Beetle,Insecta,341892,Animalia,Arthropoda,Insecta,Coleoptera,Scarabaeidae,Chondropyga,Chondropyga dorsalis,
19369664,2019-01-02T15:20,2019-01-02,2019-01-02 04:20:00 UTC,Sydney,,questagame,2019-01-02 04:30:06 UTC,2019-01-07 14:24:12 UTC,needs_id,"Sighting and photos (c) scarlett3.
Field Notes - Large beetle found on the ground at macquarie pass national park",false,3,1,false,111,"New South Wales, AU",-34.4999475914,150.6724198461,,obscured,,true,,,"Scarabs, Stag Beetles, and Allies",Scarabaeoidea,"Scarabs, Stag Beetles, and Allies",Insecta,48202,Animalia,Arthropoda,Insecta,Coleoptera,,,,
19370428,2019-01-02 10:50:15 AM GMT+05:30,2019-01-02,2019-01-02 05:20:15 UTC,Chennai,,ojha,2019-01-02 05:26:23 UTC,2019-07-17 17:14:34 UTC,research,,false,4,0,false,2,"Dhamtari, IN-CT, IN",20.8352212,81.7175835,2240,,,false,,,Spotted Tortoise Beetle,Aspidimorpha miliaris,Spotted Tortoise Beetle,Insecta,363226,Animalia,Arthropoda,Insecta,Coleoptera,Chrysomelidae,Aspidimorpha,Aspidimorpha miliaris,
19370465,Tue Jan 01 2019 15:54:53 GMT-0800 (PST),2019-01-01,2019-01-01 23:54:53 UTC,Pacific Time (US & Canada),,snail,2019-01-02 05:28:08 UTC,2019-01-02 19:39:29 UTC,needs_id,"Unsure of species, found under rotting log.",false,1,0,false,3,"23500 Cristo Rey Dr, Cupertino, CA, US",37.3395716667,-122.0894471667,5,,,false,,,Snail-eating Beetles,Scaphinotus,Snail-eating Beetles,Insecta,63561,Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Scaphinotus,,
19371745,2019-01-02T17:33,2019-01-02,2019-01-02 06:33:00 UTC,Sydney,,questagame,2019-01-02 06:51:15 UTC,2020-02-12 12:43:31 UTC,research,"Sighting and photos (c) lucky_owl.
Field Notes - Cute little guy, huh?",false,2,0,false,111,"New South Wales, AU",-33.9701426396,151.291154016,,obscured,,true,,,Large spotted Ladybird,Harmonia conformis,Large Spotted Ladybird,Insecta,210509,Animalia,Arthropoda,Insecta,Coleoptera,Coccinellidae,Harmonia,Harmonia conformis,
19372380,2019-01-02 9:09:21 PM NZDT,2019-01-02,2019-01-02 08:09:21 UTC,Wellington,,axons,2019-01-02 08:11:32 UTC,2019-01-02 11:28:53 UTC,research,,false,2,0,false,2,"Pauatahanui, Porirua 5381, New Zealand",-41.0595380795,174.9639762193,263,,,false,gps,gps,Neocicindela tuberculata,Neocicindela tuberculata,New Zealand Common Tiger Beetle,Insecta,387613,Animalia,Arthropoda,Insecta,Coleoptera,Carabidae,Neocicindela,Neocicindela tuberculata,
19372674,Wed Jan 02 2019 21:36:21 GMT+1300 (GMT+13),2019-01-02,2019-01-02 08:36:21 UTC,Nuku'alofa,,buggirl13,2019-01-02 08:46:55 UTC,2019-01-05 11:50:38 UTC,needs_id,"Also sorry for the bad photo, was poor lighting and I had to grab one phone quickly before I lost it 😅 I would like to say that it’s a striped lax beetle however this one was just a bit smaller than I thought the normal size would be. Is there a similar smaller species?",false,1,0,false,3,"10–24 Te Paerahi Road, Porangahau, Hawke's Bay, NZ",-40.3011331614,176.6659150367,30,,,false,,,False Blister Beetles,Oedemeridae,False Blister Beetles,Insecta,61845,Animalia,Arthropoda,Insecta,Coleoptera,Oedemeridae,,,
